k, M
0, 0
0.01660227466501582, 2.973821353555264
0.04884870710270635, 8.893892257537053
0.08109517093269712, 14.808858773495274
0.11334168708318836, 20.7153179760809
0.14558823462597986, 26.61667279064296
0.1778348763456722, 32.502714441134318
0.21008164363456555, 38.36833853953147
0.24232852602855992, 44.21524654850888
0.2745755758481557, 50.034931154693986
0.3068228977343538, 55.810377731341556
0.33907028240515247, 61.57561553194199
0.3713182635296562, 67.24386996009477
0.40356624465415997, 73.41212438824757
0.43581465480676734, 79.51061884674504
0.4680636300207796, 85.51723432081839
0.4916826009228314, 90.07973795942262

